"genero","especie","nombre_comun","categoria"
"Dendrocolaptes","platyrostris","Planalto-Woodcreeper","LC"
"Lepidocolaptes","angustirostris","Narrow-billed-Woodcreeper","LC"
"Xiphorhynchus","fuscus","Lesser-Woodcreeper","LC"
"Campylorhamphus","falcularius","Black-billed-Scythebill","LC"
"Campylorhamphus","trochilirostris","Red-billed-Scythebill","LC"
"Geositta","antarctica","Short-billed-Miner","LC"
"Geositta","cunicularia","Common-Miner","LC"
"Geositta","isabellina","Creamy-rumped-Miner","LC"
"Geositta","punensis","Puna-Miner","LC"
"Geositta","rufipennis","Rufous-banded-Miner","LC"
"Geositta","tenuirostris","Slender-billed-Miner","LC"
"Ochetorhynchus","andaecola","Rock-Earthcreeper","LC"
"Upucerthia","jelskii","Plain-breasted-Earthcreeper","LC"
"Upucerthia","validirostris","Buff-breasted-Earthcreeper","LC"
"Tarphonomus","certhioides","Chaco-Earthcreeper","LC"
"Ochetorhynchus","ruficaudus","Straight-billed-Earthcreeper","LC"
"Ochetorhynchus","phoenicurus","Band-tailed-Earthcreeper","LC"
"Cinclodes","antarcticus","Blackish-Cinclodes","LC"
"Cinclodes","atacamensis","White-winged-Cinclodes","LC"
"Cinclodes","comechingonus","Cordoba-Cinclodes","LC"
"Cinclodes","oustaleti","Grey-flanked-Cinclodes","LC"
"Cinclodes","patagonicus","Dark-bellied-Cinclodes","LC"
"Furnarius","cristatus","Crested-Hornero","LC"
"Furnarius","rufus","Rufous-Hornero","LC"
"Limnornis","curvirostris","Curve-billed-Reedhaunter","LC"
"Sylviorthorhynchus","desmursii","Des-Murss-Wiretail","LC"
"Aphrastura","spinicauda","Thorn-tailed-Rayadito","LC"
"Phleocryptes","melanops","Wren-like-Rushbird","LC"
"Leptasthenura","aegithaloides","Plain-mantled-Tit-spinetail","LC"
"Leptasthenura","fuliginiceps","Brown-capped-Tit-spinetail","LC"
"Leptasthenura","platensis","Tufted-Tit-spinetail","LC"
"Schoeniophylax","phryganophilus","Chotoy-Spinetail","LC"
"Synallaxis","albescens","Pale-breasted-Spinetail","LC"
"Synallaxis","cinerascens","Grey-bellied-Spinetail","LC"
"Synallaxis","frontalis","Sooty-fronted-Spinetail","LC"
"Synallaxis","ruficapilla","Rufous-capped-Spinetail","LC"
"Synallaxis","spixi","Spixs-Spinetail","LC"
"Certhiaxis","cinnamomeus","Yellow-chinned-Spinetail","LC"
"Synallaxis","scutata","Ochre-cheeked-Spinetail","LC"
"Cranioleuca","obsoleta","Olive-Spinetail","LC"
"Cranioleuca","pyrrhophia","Stripe-crowned-Spinetail","LC"
"Cranioleuca","sulphurifera","Sulphur-throated-Spinetail","LC"
"Asthenes","baeri","Short-billed-Canastero","LC"
"Asthenes","hudsoni","Hudsons-Canastero","NT"
"Pseudasthenes","humicola","Dusky-tailed-Canastero","LC"
"Asthenes","maculicauda","Scribble-tailed-Canastero","LC"
"Asthenes","modesta","Cordilleran-Canastero","LC"
"Pseudasthenes","patagonica","Patagonian-Canastero","LC"
"Asthenes","pyrrholeuca","Lesser-Canastero","LC"
"Phacellodomus","ruber","Greater-Thornbird","LC"
"Phacellodomus","rufifrons","Rufous-fronted-Thornbird","LC"
"Phacellodomus","sibilatrix","Little-Thornbird","LC"
"Phacellodomus","striaticeps","Streak-fronted-Thornbird","LC"
"Phacellodomus","maculipectus","Spot-breasted-Thornbird","LC"
"Phacellodomus","striaticollis","Freckle-breasted-Thornbird","LC"
"Coryphistera","alaudina","Lark-like-Brushrunner","LC"
"Anumbius","annumbi","Firewood-gatherer","LC"
"Pseudoseisura","gutturalis","White-throated-Cacholote","LC"
"Pseudoseisura","lophotes","Brown-Cacholote","LC"
"Syndactyla","rufosuperciliata","Buff-browed-Foliage-gleaner","LC"
"Philydor","atricapillus","Black-capped-Foliage-gleaner","LC"
"Philydor","lichtensteini","Ochre-breasted-Foliage-gleaner","LC"
"Philydor","rufum","Buff-fronted-Foliage-gleaner","LC"
"Automolus","leucophthalmus","White-eyed-Foliage-gleaner","LC"
"Heliobletus","contaminatus","Sharp-billed-Treehunter","LC"
"Xenops","minutus","Plain-Xenops","LC"
"Xenops","rutilans","Streaked-Xenops","LC"
"Pygarrhichas","albogularis","White-throated-Treerunner","LC"
"Sclerurus","scansor","Rufous-breasted-Leaftosser","LC"
"Lochmias","nematura","Sharp-tailed-Streamcreeper","LC"
"Hypoedaleus","guttatus","Spot-backed-Antshrike","LC"
"Batara","cinerea","Giant-Antshrike","LC"
"Mackenziaena","leachii","Large-tailed-Antshrike","LC"
"Mackenziaena","severa","Tufted-Antshrike","LC"
"Taraba","major","Great-Antshrike","LC"
"Thamnophilus","caerulescens","Variable-Antshrike","LC"
"Thamnophilus","doliatus","Barred-Antshrike","LC"
"Thamnophilus","ruficapillus","Rufous-capped-Antshrike","LC"
"Dysithamnus","mentalis","Plain-Antvireo","LC"
"Myrmorchilus","strigilatus","Stripe-backed-Antbird","LC"
"Herpsilochmus","atricapillus","Black-capped-Antwren","LC"
"Herpsilochmus","rufimarginatus","Rufous-winged-Antwren","LC"
"Drymophila","malura","Dusky-tailed-Antbird","LC"
"Drymophila","rubricollis","Bertonis-Antbird","LC"
"Terenura","maculata","Streak-capped-Antwren","LC"
"Pyriglena","leucoptera","White-shouldered-Fire-eye","LC"
"Chamaeza","campanisona","Short-tailed-Antthrush","LC"
"Grallaria","albigula","White-throated-Antpitta","LC"
"Grallaria","varia","Variegated-Antpitta","LC"
"Hylopezus","nattereri","Speckle-breasted-Antpitta","LC"
"Conopophaga","lineata","Rufous-Gnateater","LC"
"Pteroptochos","tarnii","Black-throated-Huet-huet","LC"
"Scelorchilus","rubecula","Chucao-Tapaculo","LC"
"Rhinocrypta","lanceolata","Crested-Gallito","LC"
"Teledromas","fuscus","Sandy-Gallito","LC"
"Melanopareia","maximiliani","Olive-crowned-Crescentchest","LC"
"Eugralla","paradoxa","Ochre-flanked-Tapaculo","LC"
"Scytalopus","superciliaris","White-browed-Tapaculo","LC"
"Phyllomyias","fasciatus","Planalto-Tyrannulet","LC"
"Phyllomyias","sclateri","Sclaters-Tyrannulet","LC"
"Phyllomyias","virescens","Greenish-Tyrannulet","LC"
"Camptostoma","obsoletum","Southern-Beardless-tyrannulet","LC"
"Phaeomyias","murina","Mouse-coloured-Tyrannulet","LC"
"Sublegatus","modestus","Southern-Scrub-flycatcher","LC"
"Myiopagis","caniceps","Grey-Elaenia","LC"
"Myiopagis","viridicata","Greenish-Elaenia","LC"
"Elaenia","albiceps","White-crested-Elaenia","LC"
"Elaenia","chiriquensis","Lesser-Elaenia","LC"
"Elaenia","flavogaster","Yellow-bellied-Elaenia","LC"
"Elaenia","mesoleuca","Olivaceous-Elaenia","LC"
"Elaenia","obscura","Highland-Elaenia","LC"
"Elaenia","parvirostris","Small-billed-Elaenia","LC"
"Elaenia","spectabilis","Large-Elaenia","LC"
"Elaenia","strepera","Slaty-Elaenia","LC"
"Mecocerculus","hellmayri","Buff-banded-Tyrannulet","LC"
"Mecocerculus","leucophrys","White-throated-Tyrannulet","LC"
"Serpophaga","nigricans","Sooty-Tyrannulet","LC"
"Serpophaga","subcristata","White-crested-Tyrannulet","LC"
"Inezia","inornata","Plain-Tyrannulet","LC"
"Stigmatura","budytoides","Greater-Wagtail-tyrant","LC"
"Anairetes","flavirostris","Yellow-billed-Tit-tyrant","LC"
"Anairetes","parulus","Tufted-Tit-tyrant","LC"
"Tachuris","rubrigastra","Many-coloured-Rush-tyrant","LC"
"Pseudocolopteryx","acutipennis","Subtropical-Doradito","LC"
"Pseudocolopteryx","sclateri","Crested-Doradito","LC"
"Euscarthmus","meloryphus","Tawny-crowned-Pygmy-tyrant","LC"
"Mionectes","rufiventris","Grey-hooded-Flycatcher","LC"
"Leptopogon","amaurocephalus","Sepia-capped-Flycatcher","LC"
"Capsiempis","flaveola","Yellow-Tyrannulet","LC"
"Phylloscartes","ventralis","Mottle-cheeked-Tyrannulet","LC"
"Corythopis","delalandi","Southern-Antpipit","LC"
"Myiornis","auricularis","Eared-Pygmy-tyrant","LC"
"Hemitriccus","diops","Drab-breasted-Bamboo-tyrant","LC"
"Hemitriccus","margaritaceiventer","Pearly-vented-Tody-tyrant","LC"
"Poecilotriccus","plumbeiceps","Ochre-faced-Tody-flycatcher","LC"
"Ramphotrigon","megacephalum","Large-headed-Flatbill","LC"
"Tolmomyias","sulphurescens","Yellow-olive-Flycatcher","LC"
"Platyrinchus","mystaceus","White-throated-Spadebill","LC"
"Myiophobus","fasciatus","Bran-coloured-Flycatcher","LC"
"Pyrrhomyias","cinnamomeus","Cinnamon-Flycatcher","LC"
"Contopus","cinereus","Tropical-Pewee","LC"
"Contopus","fumigatus","Smoke-coloured-Pewee","LC"
"Contopus","virens","Eastern-Wood-pewee","LC"
"Empidonax","alnorum","Alder-Flycatcher","LC"
"Lathrotriccus","euleri","Eulers-Flycatcher","LC"
"Cnemotriccus","fuscatus","Fuscous-Flycatcher","LC"
"Sayornis","nigricans","Black-Phoebe","LC"
"Pyrocephalus","rubinus","Vermilion-Flycatcher","LC"
"Ochthoeca","leucophrys","White-browed-Chat-tyrant","LC"
"Ochthoeca","oenanthoides","DOrbignys-Chat-tyrant","LC"
"Colorhamphus","parvirostris","Patagonian-Tyrant","LC"
"Polioxolmis","rufipennis","Rufous-webbed-Bush-tyrant","LC"
"Myiotheretes","striaticollis","Streak-throated-Bush-tyrant","LC"
"Xolmis","cinereus","Grey-Monjita","LC"
"Xolmis","coronatus","Black-crowned-Monjita","LC"
"Xolmis","irupero","White-Monjita","LC"
"Xolmis","pyrope","Fire-eyed-Diucon","LC"
"Xolmis","rubetra","Rusty-backed-Monjita","LC"
"Agriornis","lividus","Great-Shrike-tyrant","LC"
"Agriornis","micropterus","Grey-bellied-Shrike-tyrant","LC"
"Agriornis","montanus","Black-billed-Shrike-tyrant","LC"
"Agriornis","murinus","Lesser-Shrike-tyrant","LC"
"Muscisaxicola","albilora","White-browed-Ground-tyrant","LC"
"Muscisaxicola","capistratus","Cinnamon-bellied-Ground-tyrant","LC"
"Muscisaxicola","cinereus","Cinereous-Ground-tyrant","LC"
"Muscisaxicola","flavinucha","Ochre-naped-Ground-tyrant","LC"
"Muscisaxicola","frontalis","Black-fronted-Ground-tyrant","LC"
"Muscisaxicola","juninensis","Puna-Ground-tyrant","LC"
"Muscisaxicola","maclovianus","Dark-faced-Ground-tyrant","LC"
"Muscisaxicola","maculirostris","Spot-billed-Ground-tyrant","LC"
"Muscisaxicola","rufivertex","Rufous-naped-Ground-tyrant","LC"
"Lessonia","oreas","Andean-Negrito","LC"
"Lessonia","rufa","Patagonian-Negrito","LC"
"Knipolegus","aterrimus","White-winged-Black-tyrant","LC"
"Knipolegus","cyanirostris","Blue-billed-Black-tyrant","LC"
"Knipolegus","striaticeps","Cinereous-Tyrant","LC"
"Hymenops","perspicillatus","Spectacled-Tyrant","LC"
"Arundinicola","leucocephala","White-headed-Marsh-tyrant","LC"
"Fluvicola","albiventer","Black-backed-Water-tyrant","LC"
"Colonia","colonus","Long-tailed-Tyrant","LC"
"Gubernetes","yetapa","Streamer-tailed-Tyrant","LC"
"Satrapa","icterophrys","Yellow-browed-Tyrant","LC"
"Machetornis","rixosa","Cattle-Tyrant","LC"
"Attila","phoenicurus","Rufous-tailed-Attila","LC"
"Casiornis","rufus","Rufous-Casiornis","LC"
"Sirystes","sibilator","Sirystes","LC"
"Myiarchus","ferox","Short-crested-Flycatcher","LC"
"Myiarchus","swainsoni","Swainsons-Flycatcher","LC"
"Myiarchus","tuberculifer","Dusky-capped-Flycatcher","LC"
"Myiarchus","tyrannulus","Brown-crested-Flycatcher","LC"
"Pitangus","sulphuratus","Great-Kiskadee","LC"
"Megarynchus","pitangua","Boat-billed-Flycatcher","LC"
"Myiozetetes","similis","Social-Flycatcher","LC"
"Conopias","trivirgatus","Three-striped-Flycatcher","LC"
"Legatus","leucophaius","Piratic-Flycatcher","LC"
"Empidonomus","aurantioatrocristatus","Crowned-Slaty-Flycatcher","LC"
"Empidonomus","varius","Variegated-Flycatcher","LC"
"Tyrannus","melancholicus","Tropical-Kingbird","LC"
"Tyrannus","savana","Fork-tailed-Flycatcher","LC"
"Tyrannus","tyrannus","Eastern-Kingbird","LC"
"Xenopsaris","albinucha","White-naped-Xenopsaris","LC"
"Pachyramphus","castaneus","Chestnut-crowned-Becard","LC"
"Pachyramphus","polychopterus","White-winged-Becard","LC"
"Pachyramphus","validus","Crested-Becard","LC"
"Pachyramphus","viridis","Green-backed-Becard","LC"
"Tityra","cayana","Black-tailed-Tityra","LC"
"Tityra","inquisitor","Black-crowned-Tityra","LC"
"Schiffornis","virescens","Greenish-Schiffornis","LC"
"Piprites","chloris","Wing-barred-Piprites","LC"
"Manacus","manacus","White-bearded-Manakin","LC"
"Chiroxiphia","caudata","Swallow-tailed-Manakin","LC"
"Pipra","fasciicauda","Band-tailed-Manakin","LC"
"Pyroderus","scutatus","Red-ruffed-Fruitcrow","LC"
"Phytotoma","rara","Rufous-tailed-Plantcutter","LC"
"Phytotoma","rutila","White-tipped-Plantcutter","LC"
"Tachycineta","albiventer","White-winged-Swallow","LC"
"Tachycineta","meyeni","Chilean-Swallow","LC"
"Tachycineta","leucorrhoa","White-rumped-Swallow","LC"
"Progne","chalybea","Grey-breasted-Martin","LC"
"Progne","tapera","Brown-chested-Martin","LC"
"Pygochelidon","cyanoleuca","Blue-and-white-Swallow","LC"
"Atticora","melanoleuca","Black-collared-Swallow","LC"
"Alopochelidon","fucata","Tawny-headed-Swallow","LC"
"Stelgidopteryx","ruficollis","Southern-Rough-winged-Swallow","LC"
"Riparia","riparia","Sand-Martin","LC"
"Hirundo","rustica","Barn-Swallow","LC"
"Petrochelidon","pyrrhonota","Cliff-Swallow","LC"
"Anthus","bogotensis","Paramo-Pipit","LC"
"Anthus","correndera","Correndera-Pipit","LC"
"Anthus","furcatus","Short-billed-Pipit","LC"
"Anthus","hellmayri","Hellmayrs-Pipit","LC"
"Anthus","lutescens","Yellowish-Pipit","LC"
"Donacobius","atricapilla","Black-capped-Donacobius","LC"
"Campylorhynchus","turdinus","Thrush-like-Wren","LC"
"Cistothorus","platensis","Sedge-Wren","LC"
"Troglodytes","aedon","House-Wren","LC"
"Troglodytes","solstitialis","Mountain-Wren","LC"
"Mimus","dorsalis","Brown-backed-Mockingbird","LC"
"Mimus","patagonicus","Patagonian-Mockingbird","LC"
"Mimus","saturninus","Chalk-browed-Mockingbird","LC"
"Mimus","triurus","White-banded-Mockingbird","LC"
"Catharus","dryas","Spotted-Nightingale-thrush","LC"
"Catharus","ustulatus","Swainsons-Thrush","LC"
"Turdus","flavipes","Yellow-legged-Thrush","LC"
"Turdus","albicollis","White-necked-Thrush","LC"
"Turdus","amaurochalinus","Creamy-bellied-Thrush","LC"
"Turdus","chiguanco","Chiguanco-Thrush","LC"
"Turdus","falcklandii","Austral-Thrush","LC"
"Turdus","leucomelas","Pale-breasted-Thrush","LC"
"Turdus","rufiventris","Rufous-bellied-Thrush","LC"
"Turdus","serranus","Glossy-black-Thrush","LC"
"Polioptila","dumicola","Masked-Gnatcatcher","LC"
"Zonotrichia","capensis","Rufous-collared-Sparrow","LC"
"Ammodramus","humeralis","Grassland-Sparrow","LC"
"Rhynchospiza","strigiceps","Stripe-capped-Sparrow","LC"
"Phrygilus","alaudinus","Band-tailed-Sierra-finch","LC"
"Phrygilus","atriceps","Black-hooded-Sierra-finch","LC"
"Phrygilus","carbonarius","Carbonated-Sierra-finch","LC"
"Phrygilus","dorsalis","Red-backed-Sierra-finch","LC"
"Phrygilus","fruticeti","Mourning-Sierra-finch","LC"
"Phrygilus","gayi","Grey-hooded-Sierra-finch","LC"
"Phrygilus","patagonicus","Patagonian-Sierra-finch","LC"
"Phrygilus","plebejus","Ash-breasted-Sierra-finch","LC"
"Phrygilus","unicolor","Plumbeous-Sierra-finch","LC"
"Haplospiza","unicolor","Uniform-Finch","LC"
"Lophospingus","griseocristatus","Grey-crested-Finch","LC"
"Lophospingus","pusillus","Black-crested-Finch","LC"
"Donacospiza","albifrons","Long-tailed-Reed-finch","LC"
"Diuca","diuca","Common-Diuca-finch","LC"
"Idiopsar","brachyurus","Short-tailed-Finch","LC"
"Poospiza","erythrophrys","Rusty-browed-Warbling-finch","LC"
"Poospiza","hypochondria","Rufous-sided-Warbling-finch","LC"
"Poospiza","melanoleuca","Black-capped-Warbling-finch","LC"
"Poospiza","ornata","Cinnamon-Warbling-finch","LC"
"Poospiza","torquata","Ringed-Warbling-finch","LC"
"Sicalis","auriventris","Greater-Yellow-finch","LC"
"Sicalis","citrina","Stripe-tailed-Yellow-finch","LC"
"Sicalis","flaveola","Saffron-Finch","LC"
"Sicalis","lebruni","Patagonian-Yellow-finch","LC"
"Sicalis","lutea","Puna-Yellow-finch","LC"
"Sicalis","olivascens","Greenish-Yellow-finch","LC"
"Sicalis","uropygialis","Bright-rumped-Yellow-finch","LC"
"Emberizoides","herbicola","Wedge-tailed-Grass-finch","LC"
"Embernagra","platensis","Great-Pampa-finch","LC"
"Volatinia","jacarina","Blue-black-Grassquit","LC"
"Sporophila","bouvreuil","Capped-Seedeater","LC"
"Sporophila","caerulescens","Double-collared-Seedeater","LC"
"Sporophila","collaris","Rusty-collared-Seedeater","LC"
"Sporophila","hypoxantha","Tawny-bellied-Seedeater","LC"
"Sporophila","leucoptera","White-bellied-Seedeater","LC"
"Sporophila","lineola","Lined-Seedeater","LC"
"Tiaris","obscurus","Dull-coloured-Grassquit","LC"
"Oryzoborus","angolensis","Lesser-Seed-finch","LC"
"Catamenia","analis","Band-tailed-Seedeater","LC"
"Catamenia","inornata","Plain-coloured-Seedeater","LC"
"Arremon","flavirostris","Saffron-billed-Sparrow","LC"
"Atlapetes","citrinellus","Yellow-striped-Brush-finch","LC"
"Atlapetes","fulviceps","Fulvous-headed-Brush-finch","LC"
"Saltatricula","multicolor","Many-coloured-Chaco-finch","LC"
"Coryphospingus","cucullatus","Red-crested-Finch","LC"
"Paroaria","capitata","Yellow-billed-Cardinal","LC"
"Paroaria","coronata","Red-crested-Cardinal","LC"
"Catamblyrhynchus","diadema","Plushcap","LC"
"Pheucticus","aureoventris","Black-backed-Grosbeak","LC"
"Saltator","fuliginosus","Black-throated-Grosbeak","LC"
"Saltator","aurantiirostris","Golden-billed-Saltator","LC"
"Saltator","coerulescens","Greyish-Saltator","LC"
"Saltator","similis","Green-winged-Saltator","LC"
"Cissopis","leverianus","Magpie-Tanager","LC"
"Chlorospingus","ophthalmicus","Common-Bush-tanager","LC"
"Pyrrhocoma","ruficeps","Chestnut-headed-Tanager","LC"
"Thlypopsis","ruficeps","Rust-and-yellow-Tanager","LC"
"Thlypopsis","sordida","Orange-headed-Tanager","LC"
"Hemithraupis","guira","Guira-Tanager","LC"
"Tachyphonus","coronatus","Ruby-crowned-Tanager","LC"
"Tachyphonus","rufus","White-lined-Tanager","LC"
"Trichothraupis","melanops","Black-goggled-Tanager","LC"
"Habia","rubica","Red-crowned-Ant-tanager","LC"
"Piranga","flava","Hepatic-Tanager","LC"
"Ramphocelus","bresilius","Brazilian-Tanager","LC"
"Thraupis","bonariensis","Blue-and-yellow-Tanager","LC"
"Thraupis","sayaca","Sayaca-Tanager","LC"
"Stephanophorus","diadematus","Diademed-Tanager","LC"
"Pipraeidea","melanonota","Fawn-breasted-Tanager","LC"
"Euphonia","chlorotica","Purple-throated-Euphonia","LC"
"Euphonia","cyanocephala","Golden-rumped-Euphonia","LC"
"Euphonia","pectoralis","Chestnut-bellied-Euphonia","LC"
"Euphonia","violacea","Violaceous-Euphonia","LC"
"Chlorophonia","cyanea","Blue-naped-Chlorophonia","LC"
"Tangara","cayana","Burnished-buff-Tanager","LC"
"Tangara","cyanocephala","Red-necked-Tanager","LC"
"Tangara","preciosa","Chestnut-backed-Tanager","LC"
"Tangara","seledon","Green-headed-Tanager","LC"
"Dacnis","cayana","Blue-Dacnis","LC"
"Diglossa","sittoides","Rusty-Flowerpiercer","LC"
"Tersina","viridis","Swallow-Tanager","LC"
"Parula","pitiayumi","Tropical-Parula","LC"
"Dendroica","striata","Blackpoll-Warbler","LC"
"Geothlypis","aequinoctialis","Masked-Yellowthroat","LC"
"Myioborus","brunniceps","Brown-capped-Redstart","LC"
"Basileuterus","bivittatus","Two-banded-Warbler","LC"
"Basileuterus","culicivorus","Golden-crowned-Warbler","LC"
"Basileuterus","leucoblepharus","White-browed-Warbler","LC"
"Basileuterus","signatus","Pale-legged-Warbler","LC"
"Phaeothlypis","rivularis","Neotropical-River-Warbler","LC"
"Conirostrum","speciosum","Chestnut-vented-Conebill","LC"
"Coereba","flaveola","Bananaquit","LC"
"Cyclarhis","gujanensis","Rufous-browed-Peppershrike","LC"
"Hylophilus","poicilotis","Rufous-crowned-Greenlet","LC"
"Psarocolius","decumanus","Crested-Oropendola","LC"
"Cacicus","chrysopterus","Golden-winged-Cacique","LC"
"Cacicus","haemorrhous","Red-rumped-Cacique","LC"
"Cacicus","solitarius","Solitary-Black-Cacique","LC"
"Agelasticus","cyanopus","Unicoloured-Blackbird","LC"
"Chrysomus","ruficapillus","Chestnut-capped-Blackbird","LC"
"Agelasticus","thilius","Yellow-winged-Blackbird","LC"
"Sturnella","loyca","Long-tailed-Meadowlark","LC"
"Sturnella","superciliaris","White-browed-Blackbird","LC"
"Pseudoleistes","guirahuro","Yellow-rumped-Marshbird","LC"
"Pseudoleistes","virescens","Brown-and-yellow-Marshbird","LC"
"Amblyramphus","holosericeus","Scarlet-headed-Blackbird","LC"
"Curaeus","curaeus","Austral-Blackbird","LC"
"Gnorimopsar","chopi","Chopi-Blackbird","LC"
"Agelaioides","badius","Bay-winged-Cowbird","LC"
"Molothrus","bonariensis","Shiny-Cowbird","LC"
"Molothrus","rufoaxillaris","Screaming-Cowbird","LC"
"Molothrus","oryzivorus","Giant-Cowbird","LC"
"Dolichonyx","oryzivorus","Bobolink","LC"
"Carduelis","atrata","Black-Siskin","LC"
"Carduelis","barbata","Black-chinned-Siskin","LC"
"Carduelis","crassirostris","Thick-billed-Siskin","LC"
"Carduelis","magellanica","Hooded-Siskin","LC"
"Carduelis","uropygialis","Yellow-rumped-Siskin","LC"
"Cyanocorax","chrysops","Plush-crested-Jay","LC"
"Cyanocorax","cyanomelas","Purplish-Jay","LC"
"Calonectris","diomedea","Corys-Shearwater","LC"
"Tiaris","fuliginosus","Sooty-Grassquit","LC"
"Sporophila","nigricollis","Yellow-bellied-Seedeater","LC"
"Oceanodroma","leucorhoa","Leachs-Storm-petrel","LC"
"Buteo","albonotatus","Zone-tailed-Hawk","LC"
"Buteo","albigula","White-throated-Hawk","LC"
"Megascops","sanctaecatarinae","Long-tufted-Screech-owl","LC"
"Myiodynastes","maculatus","Streaked-Flycatcher","LC"
"Stercorarius","pomarinus","Pomarine-Jaeger","LC"
"Glaucidium","bolivianum","Yungas-Pygmy-owl","LC"
"Synallaxis","azarae","Azaras-Spinetail","LC"
"Sturnus","vulgaris","Common-Starling","LC"
"Basileuterus","flaveolus","Flavescent-Warbler","LC"
"Glaucidium","nanum","Austral-Pygmy-owl","LC"
"Pteroptochos","castaneus","Chestnut-throated-Huet-huet","LC"
"Chordeiles","pusillus","Least-Nighthawk","LC"
"Pitangus","lictor","Lesser-Kiskadee","LC"
"Pachyptila","vittata","Broad-billed-Prion","LC"
"Poospiza","boliviana","Bolivian-Warbling-finch","LC"
"Colibri","thalassinus","Green-Violet-ear","LC"
"Picumnus","dorbignyanus","Ocellated-Piculet","LC"
"Scytalopus","speluncae","Mouse-coloured-Tapaculo","LC"
"Carduelis","chloris","European-Greenfinch","LC"
"Pagodroma","nivea","Snow-Petrel","LC"
"Catoptrophorus","semipalmatus","Willet","LC"
"Egretta","caerulea","Little-Blue-Heron","LC"
"Pygoscelis","antarcticus","Chinstrap-Penguin","LC"
"Larus","pipixcan","Franklins-Gull","LC"
"Hemitriccus","obsoletus","Brown-breasted-Bamboo-tyrant","LC"
"Florisuga","fusca","Black-Jacobin","LC"
"Knipolegus","signatus","Andean-Tyrant","LC"
"Amazona","mercenarius","Scaly-naped-Amazon","LC"
"Aphriza","virgata","Surfbird","LC"
"Laterallus","exilis","Grey-breasted-Crake","LC"
"Thalassarche","melanophrys","Black-browed-Albatross","NT"
"Thalassarche","chrysostoma","Grey-headed-Albatross","EN"
"Diomedea","sanfordi","Northern-Royal-Albatross","EN"
"Diomedea","epomophora","Southern-Royal-Albatross","VU"
"Diomedea","exulans","Wandering-Albatross","VU"
"Procellaria","aequinoctialis","White-chinned-Petrel","VU"
"Pterodroma","incerta","Atlantic-Petrel","EN"
"Diomedea","dabbenena","Tristan-Albatross","CR"
"Eudyptes","chrysolophus","Macaroni-Penguin","VU"
"Phoebetria","fusca","Sooty-Albatross","EN"
"Phoebetria","palpebrata","Light-mantled-Albatross","NT"
"Procellaria","conspicillata","Spectacled-Petrel","VU"
"Oxyruncus","cristatus","Sharpbill","LC"
"Lugensa","brevirostris","Kerguelen-Petrel","LC"
"Eudocimus","ruber","Scarlet-Ibis","LC"
"Limnodromus","scolopaceus","Long-billed-Dowitcher","LC"
"Sterna","fuscata","Sooty-Tern","LC"
"Lophornis","chalybeus","Festive-Coquette","LC"
"Eupetomena","macroura","Swallow-tailed-Hummingbird","LC"
"Hylocharis","cyanus","White-chinned-Sapphire","LC"
"Cinclodes","olrogi","Olrogs-Cinclodes","LC"
"Margarornis","squamiger","Pearled-Treerunner","LC"
"Chamaeza","ruficauda","Rufous-tailed-Antthrush","LC"
"Scytalopus","magellanicus","Magellanic-Tapaculo","LC"
"Todirostrum","cinereum","Common-Tody-flycatcher","LC"
"Phyllomyias","uropygialis","Tawny-rumped-Tyrannulet","LC"
"Myiodynastes","chrysocephalus","Golden-crowned-Flycatcher","LC"
"Serpophaga","munda","White-bellied-Tyrannulet","LC"
"Progne","subis","Purple-Martin","LC"
"Haplochelidon","andecola","Andean-Swallow","LC"
"Diglossa","carbonaria","Grey-bellied-Flowerpiercer","LC"
"Nemosia","pileata","Hooded-Tanager","LC"
"Cyanocompsa","brissonii","Ultramarine-Grosbeak","LC"
"Phibalura","flavirostris","Swallow-tailed-Cotinga","NT"
"Cyanoloxia","glaucocaerulea","Glaucous-blue-Grosbeak","LC"
"Thraupis","palmarum","Palm-Tanager","LC"
"Schistochlamys","ruficapillus","Cinnamon-Tanager","LC"
"Sporophila","plumbea","Plumbeous-Seedeater","LC"
"Myioborus","miniatus","Slate-throated-Redstart","LC"
"Vireo","olivaceus","Red-eyed-Vireo","LC"
"Sturnella","militaris","Red-breasted-Blackbird","LC"
"Leucophaeus","scoresbii","Dolphin-Gull","LC"
"Pygoscelis","papua","Gentoo-Penguin","NT"
"Macronectes","halli","Northern-Giant-petrel","LC"
"Procellaria","cinerea","Grey-Petrel","NT"
"Oreotrochilus","adela","Wedge-tailed-Hillstar","NT"
"Progne","elegans","Southern-Martin","LC"
"Asthenes","dorbignyi","Creamy-breasted-Canastero","LC"
"Caracara","plancus","Southern-Caracara","LC"
"Thalassarche","chlororhynchos","Atlantic-Yellow-nosed-Albatross","EN"
"Megascops","hoyi","Montane-Forest-Screech-owl","LC"
"Lepidocolaptes","falcinellus","Scalloped-Woodcreeper","LC"
"Scytalopus","fuscus","Dusky-Tapaculo","LC"
"Notharchus","swainsoni","Buff-bellied-Puffbird","LC"
"Strix","rufipes","Rufous-legged-Owl","LC"
"Strix","chacoensis","Chaco-Owl","LC"
"Chaetura","meridionalis","Sicks-Swift","LC"
"Rhynchotus","rufescens","Red-winged-Tinamou","LC"
"Rhynchotus","maculicollis","Huayco-Tinamou","LC"
"Oxyura","jamaicensis","Ruddy-Duck","LC"
"Accipiter","striatus","Sharp-shinned-Hawk","LC"
