dlon,dlat
-65.88178405147748,-47.76358493615315
-65.93209806281764,-47.76341210780533
-65.98695404173141,-47.76012951009457
-66.03725838123272,-47.75991443896228
-66.06490703841907,-47.77821374480146
-66.11563410567918,-47.81173760371775
-66.1523887356415,-47.82381677594029
-66.20284176079942,-47.83273044369545
-66.23988815857284,-47.86319597310854
-66.31322043699676,-47.86883733494447
-66.38639149226515,-47.86522463572562
-66.42751330433782,-47.86182988332568
-66.47319474987887,-47.85837988117851
-66.49148759948669,-47.85822161286152
-66.53734285554508,-47.8639488924182
-66.57837398372264,-47.8574285635303
-66.62335781188452,-47.82323562517468
-66.64565698246906,-47.79845956452275
-66.65887550173486,-47.77683795517578
-66.6806498244778,-47.73056437993323
-66.99293223998721,-47.63779328820033
-67.04718236119217,-47.62167981795113
-67.06022729773079,-47.59998401920916
-67.06808036361439,-47.55684249381887
-67.08074250915082,-47.52284407904261
-67.07583222446432,-47.51061770055493
-67.07448155471124,-47.46451449580432
-67.05097714149845,-47.43715742501721
